date,open,high,low,close,symbol,capBurst,year_month
2020-06-02,80.44375,80.8575,79.7475,80.8475,AAPL,1326416424000.0,2020-06
2020-06-03,81.22625,81.5,80.58625,81.2575,AAPL,1333143048000.0,2020-06
2020-06-04,81.14625,81.395,80.2025,80.58,AAPL,1322027712000.0,2020-06
2020-06-05,81.0325,82.925,80.58,82.87,AAPL,1359598368000.0,2020-06
2020-06-08,82.5875,83.4,81.83,82.875,AAPL,1359680400000.0,2020-06
2020-06-09,83.0075,86.4025,83.0025,83.365,AAPL,1367719536000.0,2020-06
2020-06-10,85.15625,87.07,83.46000000000001,83.68875,AAPL,1373031108000.0,2020-06
2020-06-11,87.305,87.7375,83.9175,84.0125,AAPL,1378342680000.0,2020-06
2020-06-12,86.1975,86.9175,83.62,84.7125,AAPL,1389827160000.0,2020-06
2020-06-15,83.28375,86.42,83.145,84.7,AAPL,1389622080000.0,2020-06
2020-06-16,87.8125,88.26875,86.39,88.0775,AAPL,1445034696000.0,2020-06
2020-06-17,88.7875,88.85,87.7725,88.02,AAPL,1444091328000.0,2020-06
2020-06-18,87.8925,88.3625,87.305,87.8975,AAPL,1442081544000.0,2020-06
2020-06-19,89.1325,89.14,86.2875,87.9325,AAPL,1442655768000.0,2020-06
2020-06-22,87.82375,89.865,87.7875,87.43,AAPL,1434411552000.0,2020-06
2020-06-23,91.00375,93.095,90.567525,89.7175,AAPL,1471941192000.0,2020-06
2020-06-24,91.2625,92.1975,89.63,91.6325,AAPL,1503359448000.0,2020-06
2020-06-25,90.2,91.25,89.3925,90.015,AAPL,1476822096000.0,2020-06
2020-06-26,91.1025,91.33,88.255,91.21,AAPL,1496427744000.0,2020-06
2020-06-29,88.24,90.5434,87.82,88.4075,AAPL,1450448808000.0,2020-06
2020-06-30,90.015,91.495,90.0,90.445,AAPL,1483876848000.0,2020-06
2020-07-01,91.27,91.84,90.9775,91.2,AAPL,1496263680000.0,2020-07
2020-07-02,91.96125,92.6175,90.91,91.0275,AAPL,1493433576000.0,2020-07
2020-07-06,92.505,93.945,92.4675,91.0275,AAPL,1493433576000.0,2020-07
2020-07-07,93.93375,94.655,93.0575,93.4625,AAPL,1533383160000.0,2020-07
2020-07-08,94.155,95.375,94.09,93.1725,AAPL,1528625304000.0,2020-07
2020-07-09,96.26375,98.4775,94.6725,95.3425,AAPL,1564227192000.0,2020-07
2020-07-10,95.54,95.98,94.705,95.7525,AAPL,1570953816000.0,2020-07
2020-07-13,97.285,99.955,95.2575,95.92,AAPL,1573701888000.0,2020-07
2020-07-14,94.815,97.255,93.8775,95.4775,AAPL,1566442056000.0,2020-07
2020-07-15,98.79,99.2475,96.49,97.0575,AAPL,1592364168000.0,2020-07
2020-07-16,96.63375,97.405,95.905,97.725,AAPL,1603315440000.0,2020-07
2020-07-17,96.8775,97.1475,95.84,96.5225,AAPL,1583586744000.0,2020-07
2020-07-20,96.4175,98.5,96.0625,96.3275,AAPL,1580387496000.0,2020-07
2020-07-21,99.14375,99.25,96.7425,98.3575,AAPL,1613692488000.0,2020-07
2020-07-22,96.9975,97.975,96.6025,97.0,AAPL,1591420800000.0,2020-07
2020-07-23,97.01125,97.0775,92.00975,97.2725,AAPL,1595891544000.0,2020-07
2020-07-24,91.6125,92.97,89.145,92.845,AAPL,1523252208000.0,2020-07
2020-07-27,93.71875,94.905,93.48,92.615,AAPL,1519478736000.0,2020-07
2020-07-28,94.3625,94.54965,93.2475,94.81,AAPL,1555490784000.0,2020-07
2020-07-29,93.79,95.23,93.7125,93.2525,AAPL,1529937816000.0,2020-07
2020-07-30,94.2075,100.6775,93.7675,95.04,AAPL,1559264256000.0,2020-07
2020-07-31,103.25,106.415,100.825,96.19,AAPL,1578131616000.0,2020-07
2020-08-03,107.965,111.636425,107.8925,106.26,AAPL,1743344064000.0,2020-08
2020-08-04,108.805,110.79,108.3875,108.9375,AAPL,1787272200000.0,2020-08
2020-08-05,109.39625,110.3925,108.8975,109.665,AAPL,1799207856000.0,2020-08
2020-08-06,110.415,114.4125,109.7975,110.0625,AAPL,1805729400000.0,2020-08
2020-08-07,113.21,113.4225,110.3125,113.9025,AAPL,1868729976000.0,2020-08
2020-08-10,112.435,113.775,110.0,111.1125,AAPL,1822956120000.0,2020-08
2020-08-11,111.96875,112.4825,109.106675,112.7275,AAPL,1849452456000.0,2020-08
2020-08-12,110.5,113.275,110.2975,109.375,AAPL,1794450000000.0,2020-08
2020-08-13,114.4475,116.0425,113.9275,113.01,AAPL,1854087264000.0,2020-08
2020-08-14,114.77625,115.0,113.045,115.01,AAPL,1886900064000.0,2020-08
2020-08-17,116.0675,116.0875,113.962525,114.9075,AAPL,1885218408000.0,2020-08
2020-08-18,114.37,116.0,114.0075,114.6075,AAPL,1880296488000.0,2020-08
2020-08-19,115.98,117.1625,115.61,115.5625,AAPL,1895964600000.0,2020-08
2020-08-20,115.74875,118.392,115.733375,115.7075,AAPL,1898343528000.0,2020-08
2020-08-21,119.75,124.868,119.25,118.275,AAPL,1940466960000.0,2020-08
2020-08-24,128.7,128.785,123.93625,124.37,AAPL,2040463968000.0,2020-08
2020-08-25,124.51875,125.1793,123.0525,125.8575,AAPL,2064868488000.0,2020-08
2020-08-26,126.1525,126.9925,125.0825,124.825,AAPL,2047928880000.0,2020-08
2020-08-27,127.2625,127.485,123.8325,126.5225,AAPL,2075778744000.0,2020-08
2020-08-28,126.0575,126.4375,124.58625,125.01,AAPL,2050964064000.0,2020-08
2020-08-31,125.28,131.0,125.07,124.8075,AAPL,2047641768000.0,2020-08
2020-09-01,132.19,134.78,130.56,129.04,AAPL,2117081856000.0,2020-09
2020-09-02,137.84,138.42,127.0,134.18,AAPL,2201410752000.0,2020-09
2020-09-03,128.11,128.785,120.18,131.4,AAPL,2155800960000.0,2020-09
2020-09-04,118.24,123.7,110.89,120.88,AAPL,1983205632000.0,2020-09
2020-09-08,114.36,118.94,112.28,120.96,AAPL,1984518144000.0,2020-09
2020-09-09,115.87,119.14,115.26,112.82,AAPL,1850970048000.0,2020-09
2020-09-10,119.37,120.51,112.5,117.32,AAPL,1924798848000.0,2020-09
2020-09-11,114.99,115.23,110.0,113.49,AAPL,1861962336000.0,2020-09
2020-09-14,114.06,115.9,112.82,112.0,AAPL,1837516800000.0,2020-09
2020-09-15,118.0,118.829,113.61,115.355,AAPL,1892560272000.0,2020-09
2020-09-16,114.76,115.955,112.02,115.54,AAPL,1895595456000.0,2020-09
2020-09-17,109.82,112.18,108.7,112.13,AAPL,1839649632000.0,2020-09
2020-09-18,110.53,111.25,106.1,110.34,AAPL,1810282176000.0,2020-09
2020-09-21,104.03,110.62,103.34,106.84,AAPL,1752859776000.0,2020-09
2020-09-22,111.32,112.86,109.16,110.08,AAPL,1806016512000.0,2020-09
2020-09-23,111.28,112.085,106.8,111.81,AAPL,1834399584000.0,2020-09
2020-09-24,105.66,110.25,105.0,107.12,AAPL,1757453568000.0,2020-09
2020-09-25,108.68,112.44,107.67,108.22,AAPL,1775500608000.0,2020-09
2020-09-28,115.42,115.42,112.78,112.28,AAPL,1842110592000.0,2020-09
2020-09-29,114.43,115.31,113.57,114.96,AAPL,1886079744000.0,2020-09
2020-09-30,113.09,117.26,113.09,114.09,AAPL,1871806176000.0,2020-09
2020-10-01,117.83,117.83,115.83,115.81,AAPL,1900025184000.0,2020-10
2020-10-02,113.11,115.37,112.22,116.79,AAPL,1916103456000.0,2020-10
2020-10-05,114.01,116.65,113.55,113.02,AAPL,1854251328000.0,2020-10
2020-10-06,115.82,116.095,112.285,116.5,AAPL,1911345600000.0,2020-10
2020-10-07,114.48,115.55,114.13,113.16,AAPL,1856548224000.0,2020-10
2020-10-08,116.41,116.41,114.5901,115.08,AAPL,1888048512000.0,2020-10
2020-10-09,115.28,117.48,114.92,114.97,AAPL,1886243808000.0,2020-10
2020-10-12,120.93,125.18,119.31,116.97,AAPL,1919056608000.0,2020-10
2020-10-13,126.09,126.46,119.7,124.4,AAPL,2040956160000.0,2020-10
2020-10-14,121.38,123.015,119.625,121.1,AAPL,1986815040000.0,2020-10
2020-10-15,118.56,121.2,118.15,121.19,AAPL,1988291616000.0,2020-10
2020-10-16,121.64,121.73,118.81,120.71,AAPL,1980416544000.0,2020-10
2020-10-19,120.07,120.42,115.66,119.02,AAPL,1952689728000.0,2020-10
2020-10-20,116.42,118.98,115.63,115.98,AAPL,1902814272000.0,2020-10
2020-10-21,117.14,118.695,116.5,116.885,AAPL,1917662064000.0,2020-10
2020-10-22,117.51,118.04,114.59,116.87,AAPL,1917415968000.0,2020-10
